강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 원주
기간 : 20200120~20210331

날짜,지점,강수량(mm)
2020-01-20,114,
2020-01-21,114,
2020-01-22,114,0
2020-01-23,114,
2020-01-24,114,
2020-01-25,114,
2020-01-26,114,
2020-01-27,114,1.9
2020-01-28,114,0.1
2020-01-29,114,
2020-01-30,114,0
2020-01-31,114,
2020-02-01,114,
2020-02-02,114,
2020-02-03,114,0
2020-02-04,114,0.7
2020-02-05,114,
2020-02-06,114,
2020-02-07,114,
2020-02-08,114,0
2020-02-09,114,
2020-02-10,114,0
2020-02-11,114,
2020-02-12,114,16.7
2020-02-13,114,0.3
2020-02-14,114,
2020-02-15,114,1.1
2020-02-16,114,13.5
2020-02-17,114,0.8
2020-02-18,114,
2020-02-19,114,
2020-02-20,114,
2020-02-21,114,2.9
2020-02-22,114,4.5
2020-02-23,114,
2020-02-24,114,
2020-02-25,114,21.9
2020-02-26,114,0
2020-02-27,114,0
2020-02-28,114,3
2020-02-29,114,0.1
2020-03-01,114,0
2020-03-02,114,0
2020-03-03,114,0
2020-03-04,114,0
2020-03-05,114,
2020-03-06,114,
2020-03-07,114,
2020-03-08,114,
2020-03-09,114,0
2020-03-10,114,11.1
2020-03-11,114,
2020-03-12,114,
2020-03-13,114,0
2020-03-14,114,
2020-03-15,114,0
2020-03-16,114,
2020-03-17,114,0.7
2020-03-18,114,
2020-03-19,114,0
2020-03-20,114,
2020-03-21,114,0
2020-03-22,114,
2020-03-23,114,
2020-03-24,114,
2020-03-25,114,
2020-03-26,114,0.7
2020-03-27,114,8.7
2020-03-28,114,
2020-03-29,114,
2020-03-30,114,
2020-03-31,114,
2020-04-01,114,0
2020-04-02,114,
2020-04-03,114,
2020-04-04,114,
2020-04-05,114,
2020-04-06,114,
2020-04-07,114,
2020-04-08,114,
2020-04-09,114,
2020-04-10,114,0
2020-04-11,114,0
2020-04-12,114,0
2020-04-13,114,
2020-04-14,114,
2020-04-15,114,
2020-04-16,114,
2020-04-17,114,6.4
2020-04-18,114,0
2020-04-19,114,9.1
2020-04-20,114,0.2
2020-04-21,114,0
2020-04-22,114,
2020-04-23,114,
2020-04-24,114,
2020-04-25,114,
2020-04-26,114,0
2020-04-27,114,0
2020-04-28,114,
2020-04-29,114,
2020-04-30,114,
2020-05-01,114,
2020-05-02,114,0.2
2020-05-03,114,0
2020-05-04,114,
2020-05-05,114,0.4
2020-05-06,114,
2020-05-07,114,
2020-05-08,114,0.8
2020-05-09,114,9.2
2020-05-10,114,0.8
2020-05-11,114,0
2020-05-12,114,0.8
2020-05-13,114,
2020-05-14,114,
2020-05-15,114,14.7
2020-05-16,114,0
2020-05-17,114,
2020-05-18,114,33.8
2020-05-19,114,8.7
2020-05-20,114,
2020-05-21,114,
2020-05-22,114,0
2020-05-23,114,0
2020-05-24,114,10.4
2020-05-25,114,
2020-05-26,114,0
2020-05-27,114,
2020-05-28,114,0.2
2020-05-29,114,
2020-05-30,114,
2020-05-31,114,0
2020-06-01,114,1.8
2020-06-02,114,0
2020-06-03,114,1.1
2020-06-04,114,
2020-06-05,114,
2020-06-06,114,0
2020-06-07,114,
2020-06-08,114,
2020-06-09,114,
2020-06-10,114,7.9
2020-06-11,114,1.3
2020-06-12,114,0
2020-06-13,114,0
2020-06-14,114,4.8
2020-06-15,114,
2020-06-16,114,
2020-06-17,114,
2020-06-18,114,
2020-06-19,114,0
2020-06-20,114,
2020-06-21,114,0
2020-06-22,114,
2020-06-23,114,
2020-06-24,114,4.4
2020-06-25,114,1.3
2020-06-26,114,1.3
2020-06-27,114,0
2020-06-28,114,
2020-06-29,114,7.9
